frame,allegro_thumb_tip_x,allegro_thumb_tip_y,allegro_thumb_tip_z,allegro_index_tip_x,allegro_index_tip_y,allegro_index_tip_z,allegro_middle_tip_x,allegro_middle_tip_y,allegro_middle_tip_z,allegro_ring_tip_x,allegro_ring_tip_y,allegro_ring_tip_z,shadow_thtip_x,shadow_thtip_y,shadow_thtip_z,shadow_fftip_x,shadow_fftip_y,shadow_fftip_z,shadow_mftip_x,shadow_mftip_y,shadow_mftip_z,shadow_rftip_x,shadow_rftip_y,shadow_rftip_z,shadow_lftip_x,shadow_lftip_y,shadow_lftip_z
1,0.031616583466529846,0.17197285592556,-0.08657156676054001,0.007603626232594252,0.05633522942662239,0.14516569674015045,0.01279008761048317,-6.508348349143489e-08,0.147498220205307,0.012790078297257423,-0.05629437044262886,0.14469759166240692,0.02683219745401988,0.10303500753212966,0.03967978431269058,0.015226098319958017,0.04227028591740645,0.1065572693343315,0.022423009377445312,0.008983477066815067,0.1103204847148168,0.025887305034074208,-0.022418890351086112,0.11014103115002878,0.025637031639544432,-0.04309631466398999,0.10630971491846931
2,0.03161657601594925,0.1719733625650406,-0.08656546473503113,0.008761487901210785,0.05632856860756874,0.14508964121341705,0.01453558262437582,-7.954638192586572e-08,0.14729368686676025,0.014535574242472649,-0.056276559829711914,0.14449384808540344,0.030067353450862852,0.12234208697863924,0.004460338365040997,0.013322454517908686,0.05173003097815861,0.11440568726783429,0.019416770177883215,0.00673606481269421,0.1241979507498956,0.01683870917142497,-0.03635554004547431,0.12441184369514768,0.021215237125011867,-0.04911733468156092,0.1191225598627712
3,0.031616564840078354,0.17197425663471222,-0.08655449748039246,0.009425533004105091,0.0563243068754673,0.14504100382328033,0.01543551404029131,-8.662370731826741e-08,0.1471782922744751,0.015435506589710712,-0.056266508996486664,0.1443788856267929,0.009081982950937095,0.11195801627640578,-0.04073949089188717,0.011606885272694224,0.05868642962955776,0.10610122441355903,0.020152209321335338,0.004120587986359291,0.12381640384450512,0.014438532204561698,-0.04173838544640196,0.12547236278977633,0.023674606502931565,-0.05220894108119129,0.12073191390203748
4,0.031616516411304474,0.1719754934310913,-0.08653869479894638,0.010141298174858093,0.05631935968995094,0.14498451352119446,0.016353417187929153,-9.353457386396258e-08,0.1470535695552826,0.016353411599993706,-0.05625564604997635,0.1442546397447586,0.021112286589609865,0.116681550812986,-0.0605825036591708,0.011387608283244897,0.05917958889787872,0.11699619505277062,0.018152724555940157,0.0017742427056272646,0.12995676794644634,0.012565787337419091,-0.04329330551457345,0.12618255299753608,0.018800818527448443,-0.05262565271929777,0.12124973919439817
5,0.03161643072962761,0.1719769686460495,-0.08651836216449738,0.01090443879365921,0.05631367489695549,0.14491958916187286,0.01728791557252407,-1.0022463214909294e-07,0.14691931009292603,0.017287908121943474,-0.05624395236372948,0.14412088692188263,0.0201911906970399,0.11734861630080146,-0.05850750495993349,0.011168610820075291,0.05942170544589262,0.12016211564620183,0.017786265982081467,0.0019480409141209411,0.13279443658681606,0.012120169950779233,-0.0430898349992775,0.1287780872863034,0.01810425328846649,-0.05239106915542083,0.12378410393730158
6,0.031616296619176865,0.1719786375761032,-0.08649378269910812,0.011709952726960182,0.05630721524357796,0.14484581351280212,0.018237672746181488,-1.066918358105795e-07,0.1467752754688263,0.01823766715824604,-0.05623140558600426,0.14397740364074707,0.022338894379944997,0.11707911200802743,-0.062223010881100334,0.013432747033416816,0.05909858653300833,0.1164221128192171,0.020055264076915606,0.001621848063664744,0.12903448973175016,0.014347052359144326,-0.043351162111321145,0.12503235126474407,0.02042975108127103,-0.052668204025074675,0.12002851070564649
7,0.03161608800292015,0.17198041081428528,-0.08646522462368011,0.01254785992205143,0.05629999563097954,0.14476333558559418,0.019201435148715973,-1.1287877299537286e-07,0.14662128686904907,0.019201431423425674,-0.056217990815639496,0.1438240110874176,0.021709216898131368,0.1162081425255618,-0.07023421093410476,0.015176233793014807,0.05797360078480154,0.1206222390520117,0.02093768182802707,0.0003903505848635762,0.13087822188239942,0.014983457491450922,-0.04455569517498848,0.12510405786126286,0.01890108414980577,-0.053278704441675526,0.1198802641727475
8,0.031615786254405975,0.17198218405246735,-0.08643292635679245,0.013413564302027225,0.05629199370741844,0.1446719467639923,0.02017802558839321,-1.1877457239961586e-07,0.14645718038082123,0.020178021863102913,-0.056203693151474,0.1436605155467987,0.02030128457583124,0.1161175560425861,-0.07146434516896613,0.014748725599864222,0.05768845147844806,0.11957137205248612,0.020833374756460694,0.00015175122807006445,0.12967838878539611,0.015073632177592182,-0.04483686250560851,0.12384179519662467,0.01898764050791088,-0.05349337634304548,0.11860388898204888
9,0.03161538392305374,0.17198391258716583,-0.08639713376760483,0.014304681681096554,0.05628318712115288,0.14457130432128906,0.02116640843451023,-1.2434351503998187e-07,0.14628274738788605,0.021166399121284485,-0.05618849769234657,0.14348675310611725,0.022009872647251245,0.11631979321171855,-0.06931096335921305,0.016654864620442,0.05781068320481095,0.121618719381518,0.022756961588632968,0.0002763189560015711,0.13171131252912807,0.016969984013918957,-0.044653777250127105,0.12589727824760719,0.02098933328924437,-0.053323775135714076,0.12064538920696409
10,0.03161486238241196,0.17198550701141357,-0.08635805547237396,0.015219172462821007,0.05627353489398956,0.14446108043193817,0.02216561697423458,-1.2958224715475808e-07,0.14609785377979279,0.022165611386299133,-0.056172385811805725,0.1433025598526001,0.01808376528264598,0.11685419225101573,-0.0700558489763828,0.015645070948749232,0.05777455453317555,0.12143877307486937,0.022520451299861126,0.0003895361801585476,0.13106328970167266,0.017154270273976247,-0.044728981021067954,0.12503348348165538,0.021000626601599365,-0.05318530345490896,0.11974656165060248
11,0.03161420300602913,0.1719868928194046,-0.08631591498851776,0.016155315563082695,0.056263018399477005,0.14434091746807098,0.02317504584789276,-1.3445148283608432e-07,0.14590227603912354,0.023175038397312164,-0.05615534633398056,0.14310772716999054,0.01949238732086363,0.1166564658556592,-0.0707024650973319,0.017071414992766522,0.057497407784237634,0.12069602583925579,0.023940784002039944,0.00011272392146368044,0.13030723264946964,0.01854308860526984,-0.04496087680473709,0.12428771395073117,0.02248364099243773,-0.05341985675724494,0.11899152801811327
12,0.03161339834332466,0.17198799550533295,-0.08627090603113174,0.01711210235953331,0.05625159665942192,0.14421042799949646,0.02419453114271164,-1.3899659734306624e-07,0.1456957459449768,0.024194521829485893,-0.05613734945654869,0.1429019719362259,0.02014197691700134,0.11679136201124565,-0.06970036495262721,0.017771708632245403,0.0576349821936551,0.12172505962227277,0.0246401455032982,0.00025400792558322605,0.13132855442777028,0.019240879620681835,-0.0448315042813859,0.12530306740926642,0.023170282825016538,-0.053278488201435874,0.12000940595577675
